Player,FG,FGA,XPT,FPTS,Team,Week,Year,Position
Tyler Bass,1.8,2.2,2.3,7.7,BUF,12,2021,k
Dustin Hopkins,1.7,2.0,2.4,7.6,CLE,12,2021,k
Younghoe Koo,1.8,2.1,2.2,7.6,ATL,12,2021,k
Evan McPherson,1.8,2.1,2.3,7.6,CIN,12,2021,k
Joey Slye,1.8,2.2,1.9,7.4,TEN,12,2021,k
Brandon McManus,1.8,2.1,2.1,7.4,GB,12,2021,k
Matt Gay,1.7,1.9,2.3,7.3,WAS,12,2021,k
Jake Elliott,1.7,2.0,2.0,7.2,PHI,12,2021,k
Graham Gano,1.8,2.0,1.9,7.2,NYG,12,2021,k
Daniel Carlson,1.7,2.0,2.0,7.1,LV,12,2021,k
Ka'imi Fairbairn,1.5,1.9,2.5,7.1,HOU,12,2021,k
Cairo Santos,1.7,2.0,1.9,7.0,CHI,12,2021,k
Jason Myers,1.4,1.7,2.5,6.8,SEA,12,2021,k
Chase McLaughlin,1.6,1.8,2.0,6.7,TB,12,2021,k
Matthew Wright,1.5,1.8,2.2,6.6,CAR,12,2021,k
Jason Sanders,1.4,1.8,2.1,6.4,MIA,12,2021,k
Matt Gay,1.9,2.3,2.9,8.6,WAS,13,2021,k
Daniel Carlson,2.0,2.4,2.3,8.4,LV,13,2021,k
Harrison Butker,1.9,2.2,2.7,8.3,KC,13,2021,k
Evan McPherson,1.7,2.1,2.5,7.7,CIN,13,2021,k
Jason Sanders,1.7,2.0,2.3,7.6,MIA,13,2021,k
Jake Elliott,1.7,2.0,2.4,7.5,PHI,13,2021,k
Chris Boswell,1.8,2.1,2.0,7.5,PIT,13,2021,k
Nick Folk,1.8,2.1,1.8,7.1,NYJ,13,2021,k
Younghoe Koo,1.6,1.8,2.3,7.0,ATL,13,2021,k
Jason Myers,1.6,1.9,2.0,6.9,SEA,13,2021,k
Tyler Bass,1.5,1.8,2.3,6.8,BUF,13,2021,k
Cairo Santos,1.6,1.9,1.6,6.5,CHI,13,2021,k
Graham Gano,1.5,1.7,1.7,6.2,NYG,13,2021,k
Ka'imi Fairbairn,1.4,1.7,1.9,6.0,HOU,13,2021,k
Harrison Butker,1.9,2.2,2.7,8.4,KC,14,2021,k
Dustin Hopkins,1.8,2.1,2.5,7.8,CLE,14,2021,k
Brandon McManus,1.7,2.1,2.6,7.7,GB,14,2021,k
Chris Boswell,1.7,1.9,2.3,7.3,PIT,14,2021,k
Joey Slye,1.6,1.9,2.3,7.2,TEN,14,2021,k
Jason Myers,1.6,1.9,2.4,7.1,SEA,14,2021,k
Matt Gay,1.6,1.9,2.3,7.1,WAS,14,2021,k
Evan McPherson,1.6,1.9,2.2,7.0,CIN,14,2021,k
Tyler Bass,1.5,1.9,2.4,7.0,BUF,14,2021,k
Daniel Carlson,1.7,1.9,1.9,6.9,LV,14,2021,k
Chase McLaughlin,1.6,1.9,2.0,6.9,TB,14,2021,k
Younghoe Koo,1.5,1.7,2.0,6.5,ATL,14,2021,k
Graham Gano,1.5,1.8,1.7,6.2,NYG,14,2021,k
Ka'imi Fairbairn,1.5,1.8,1.6,6.1,HOU,14,2021,k
Cairo Santos,1.4,1.6,1.6,5.7,CHI,14,2021,k
Matthew Wright,1.4,1.6,1.4,5.5,CAR,14,2021,k
Nick Folk,2.0,2.3,2.2,8.1,NYJ,15,2021,k
Tyler Bass,1.7,2.1,2.8,7.9,BUF,15,2021,k
Matt Gay,1.8,2.0,2.6,7.9,WAS,15,2021,k
Chris Boswell,1.8,2.0,2.3,7.8,PIT,15,2021,k
Harrison Butker,1.7,1.9,2.6,7.7,KC,15,2021,k
Jason Sanders,1.7,2.1,2.5,7.7,MIA,15,2021,k
Jake Elliott,2.0,2.2,1.8,7.7,PHI,15,2021,k
Daniel Carlson,1.7,2.0,2.1,7.3,LV,15,2021,k
Cairo Santos,1.7,1.9,2.1,7.1,CHI,15,2021,k
Brandon McManus,1.5,1.8,2.3,6.9,GB,15,2021,k
Dustin Hopkins,1.4,1.6,2.6,6.9,CLE,15,2021,k
Evan McPherson,1.7,1.9,1.9,6.9,CIN,15,2021,k
Younghoe Koo,1.6,1.8,1.9,6.8,ATL,15,2021,k
Chase McLaughlin,1.5,1.8,2.0,6.6,TB,15,2021,k
Jason Myers,1.5,1.8,1.8,6.2,SEA,15,2021,k
Ka'imi Fairbairn,1.5,1.7,1.7,6.2,HOU,15,2021,k
Graham Gano,1.4,1.5,1.7,5.8,NYG,15,2021,k
Matthew Wright,1.4,1.6,1.6,5.7,CAR,15,2021,k
Matt Gay,1.8,2.2,2.6,8.1,WAS,16,2021,k
Dustin Hopkins,1.7,2.0,2.9,8.0,CLE,16,2021,k
Nick Folk,2.0,2.3,2.0,8.0,NYJ,16,2021,k
Daniel Carlson,2.0,2.3,1.8,7.7,LV,16,2021,k
Younghoe Koo,1.7,2.0,2.5,7.7,ATL,16,2021,k
Jake Elliott,1.8,2.1,2.3,7.7,PHI,16,2021,k
Evan McPherson,1.8,2.1,2.2,7.6,CIN,16,2021,k
Brandon McManus,1.7,2.0,2.1,7.1,GB,16,2021,k
Tyler Bass,1.7,2.0,1.9,6.9,BUF,16,2021,k
Jason Sanders,1.6,2.0,1.9,6.8,MIA,16,2021,k
Jason Myers,1.4,1.8,2.5,6.8,SEA,16,2021,k
Chris Boswell,1.7,1.9,1.7,6.7,PIT,16,2021,k
Matthew Wright,1.5,1.9,1.7,6.3,CAR,16,2021,k
Joey Slye,1.5,1.8,1.7,6.1,TEN,16,2021,k
Cairo Santos,1.4,1.6,1.6,5.8,CHI,16,2021,k
Ka'imi Fairbairn,1.4,1.6,1.6,5.8,HOU,16,2021,k
Graham Gano,1.4,1.6,1.4,5.7,NYG,16,2021,k
Tyler Bass,2.0,2.4,2.9,8.8,BUF,17,2021,k
