Player,FG_proj,FGA_proj,XPT_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Rank,FG_actual,FGA_actual,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT_actual,XPA,G,FPTS_actual,FPTS/G,ROST,Team_actual,Position_actual
Daniel Carlson,1.8,2.2,2.5,8.0,LV,4,2021,K,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,12.8%,LV,K
Younghoe Koo,1.8,2.1,2.2,7.6,ATL,4,2021,K,17.0,1.0,1.0,100.0,25.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,22.8%,ATL,K
Brandon McManus,1.7,2.0,2.3,7.4,GB,4,2021,K,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.2%,GB,K
Chase McLaughlin,1.6,1.8,2.6,7.2,TB,4,2021,K,8.0,2.0,2.0,100.0,53.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,9.0,81.7%,TB,K
Cairo Santos,1.6,1.8,2.3,7.1,CHI,4,2021,K,18.0,1.0,1.0,100.0,33.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,12.2%,CHI,K
Dustin Hopkins,1.6,1.9,2.3,7.1,CLE,4,2021,K,24.0,1.0,1.0,100.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,4.0,0.8%,CLE,K
Nick Folk,1.8,2.0,1.7,7.0,NYJ,4,2021,K,19.0,1.0,2.0,50.0,27.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,0.9%,NYJ,K
Evan McPherson,1.5,1.7,2.6,7.0,CIN,4,2021,K,15.0,1.0,2.0,50.0,35.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,43.8%,CIN,K
Chris Boswell,1.6,1.9,1.9,6.9,PIT,4,2021,K,13.0,1.0,1.0,100.0,52.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,81.1%,PIT,K
Graham Gano,1.7,1.9,1.7,6.9,NYG,4,2021,K,12.0,2.0,3.0,66.7,48.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,8.0,1.0%,NYG,K
