Player,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,FPTS,Team,Week,Year,Position
Tim Patrick,3.7,48.6,0.3,0.0,0.0,0.0,0.0,10.2,DET,2,2021,wr
Mecole Hardman Jr.,3.5,46.8,0.3,0.3,2.4,0.0,0.0,10.1,GB,2,2021,wr
Russell Gage Jr.,4.3,46.0,0.2,0.1,0.3,0.0,0.0,10.0,SF,2,2021,wr
Zach Pascal,3.4,44.1,0.3,0.0,0.1,0.0,0.0,9.7,NYG,2,2021,wr
Hunter Renfrow,3.8,44.2,0.2,0.0,0.0,0.0,0.0,9.3,CAR,2,2021,wr
Jalen Reagor,3.4,43.1,0.2,0.2,1.2,0.0,0.0,9.3,LAC,2,2021,wr
Van Jefferson,3.1,41.8,0.3,0.1,0.2,0.0,0.0,8.9,TEN,2,2021,wr
Elijah Moore,3.4,42.1,0.2,0.0,0.6,0.0,0.0,8.8,BUF,2,2021,wr
Marquez Valdes-Scantling,2.6,45.8,0.2,0.1,0.9,0.0,0.0,8.6,SEA,2,2021,wr
KJ Hamler,3.1,39.1,0.2,0.5,3.3,0.0,0.0,8.6,BUF,2,2021,wr
Darius Slayton,3.2,42.5,0.2,0.1,0.2,0.0,0.0,8.5,NYG,2,2021,wr
Rondale Moore,2.8,38.3,0.3,0.5,3.1,0.0,0.1,8.3,MIN,2,2021,wr
Allen Lazard,2.8,38.4,0.2,0.1,0.8,0.0,0.0,8.2,NYJ,2,2021,wr
Amon-Ra St. Brown,3.2,39.7,0.2,0.0,0.2,0.0,0.0,8.2,DET,2,2021,wr
Cedrick Wilson Jr.,3.0,38.0,0.2,0.0,0.1,0.0,0.0,7.9,NO,2,2021,wr
Donovan Peoples-Jones,2.4,35.6,0.3,0.0,0.0,0.0,0.0,7.5,NO,2,2021,wr
Brandon Aiyuk,2.4,32.7,0.2,0.7,4.1,0.0,0.0,7.5,SF,2,2021,wr
Juwan Johnson,2.8,21.3,0.4,0.0,0.0,0.0,0.0,7.3,NO,2,2021,wr
Terrace Marshall Jr.,2.6,35.0,0.2,0.0,0.2,0.0,0.0,7.2,PHI,2,2021,wr
Kalif Raymond,2.5,35.8,0.1,0.2,0.8,0.0,0.0,6.9,DET,2,2021,wr
Dyami Brown,2.6,32.4,0.2,0.0,0.2,0.0,0.0,6.8,JAC,2,2021,wr
Nico Collins,2.5,31.5,0.2,0.0,0.2,0.0,0.0,6.6,HOU,2,2021,wr
K.J. Osborn,2.6,32.1,0.1,0.0,0.3,0.0,0.0,6.5,WAS,2,2021,wr
Quintez Cephus,2.3,30.9,0.2,0.0,0.0,0.0,0.0,6.3,HOU,2,2021,wr
Demarcus Robinson,2.4,27.9,0.2,0.0,0.0,0.0,0.0,6.2,SF,2,2021,wr
Trent Sherfield Sr.,2.2,26.9,0.2,0.0,0.1,0.0,0.0,6.0,DEN,2,2021,wr
Kendrick Bourne,2.2,26.9,0.2,0.0,0.0,0.0,0.0,5.9,NE,2,2021,wr
Quez Watkins,2.1,26.6,0.1,0.0,0.1,0.0,0.0,5.5,ARI,2,2021,wr
Braxton Berrios,2.2,24.4,0.1,0.1,0.8,0.0,0.0,5.5,HOU,2,2021,wr
Devin Duvernay,1.7,19.9,0.1,0.1,0.8,0.0,0.0,4.5,CHI,2,2021,wr
Josh Reynolds,1.6,19.7,0.1,0.0,0.3,0.0,0.0,4.4,NYJ,2,2021,wr
Michael Strachan,1.5,18.0,0.1,0.1,0.3,0.0,0.0,4.0,WAS,2,2021,wr
Lil'Jordan Humphrey,1.1,13.8,0.1,0.1,0.8,0.0,0.0,3.1,NYG,2,2021,wr
Olamide Zaccheaus,1.2,14.9,0.1,0.0,0.1,0.0,0.0,3.0,CHI,2,2021,wr
Laquon Treadwell,0.9,12.9,0.1,0.0,0.1,0.0,0.0,2.7,IND,2,2021,wr
Tutu Atwell,0.8,11.2,0.0,0.0,0.3,0.0,0.0,2.2,LAR,2,2021,wr
Scotty Miller,0.7,9.6,0.0,0.1,0.6,0.0,0.0,2.0,PIT,2,2021,wr
Noah Brown,0.7,8.8,0.1,0.0,0.2,0.0,0.0,1.9,WAS,2,2021,wr
Ashton Dulin,0.7,8.7,0.0,0.0,0.2,0.0,0.0,1.8,IND,2,2021,wr
Joshua Palmer,0.7,8.9,0.0,0.1,0.3,0.0,0.0,1.8,BUF,2,2021,wr
Nick Westbrook-Ikhine,0.6,6.5,0.1,0.0,0.0,0.0,0.0,1.5,MIA,2,2021,wr
Tylan Wallace,0.5,6.8,0.0,0.0,0.3,0.0,0.0,1.5,BAL,2,2021,wr
Zay Jones,0.5,6.4,0.0,0.0,0.0,0.0,0.0,1.3,ARI,2,2021,wr
Jauan Jennings,0.4,5.5,0.0,0.0,0.2,0.0,0.0,1.2,SF,2,2021,wr
Tom Kennedy,0.4,5.8,0.0,0.0,0.1,0.0,0.0,1.2,DET,2,2021,wr
