Player,RECEIVING_REC_proj,RECEIVING_YDS_proj,RECEIVING_TDS,RUSHING_ATT_proj,RUSHING_YDS_proj,RUSHING_TDS,MISC_FL_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Unnamed: 0_level_0_Rank,RECEIVING_REC_actual,RECEIVING_TGT,RECEIVING_YDS_actual,RECEIVING_Y/R,RECEIVING_LG,RECEIVING_20+,RECEIVING_TD,RUSHING_ATT_actual,RUSHING_YDS_actual,RUSHING_TD,MISC_FL_actual,MISC_G,FPTS_actual,MISC_FPTS/G,MISC_ROST,Team_actual,Position_actual
Marquez Callaway,4.3,56.1,0.3,0.1,0.7,0.0,0.0,11.9,LV,1,2021,WR,104.0,1.0,2.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,2.4,0.0%,LV,WR
Courtland Sutton,4.2,60.0,0.2,0.1,0.6,0.0,0.0,11.7,DEN,1,2021,WR,105.0,1.0,3.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,2.4,92.0%,DEN,WR
Mecole Hardman Jr.,3.7,51.8,0.4,0.3,2.5,0.0,0.0,11.3,GB,1,2021,WR,84.0,3.0,3.0,19.0,6.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.9,4.9,0.6%,GB,WR
Ja'Marr Chase,4.2,56.8,0.2,0.1,0.5,0.0,0.0,11.2,CIN,1,2021,WR,15.0,5.0,7.0,101.0,20.2,50.0,1.0,1.0,1.0,-2.0,0.0,0.0,1.0,20.9,20.9,99.6%,CIN,WR
Russell Gage Jr.,4.6,51.1,0.2,0.1,0.5,0.0,0.0,11.0,SF,1,2021,WR,132.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,SF,WR
Elijah Moore,4.3,52.0,0.2,0.1,0.7,0.0,0.0,10.7,BUF,1,2021,WR,119.0,1.0,4.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.7,3.5%,BUF,WR
Michael Gallup,3.8,56.5,0.2,0.0,0.0,0.0,0.0,10.6,WAS,1,2021,WR,71.0,4.0,7.0,36.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.6,7.6,0.6%,WAS,WR
Jaylen Waddle,3.9,54.2,0.2,0.2,1.4,0.0,0.1,10.5,MIA,1,2021,WR,26.0,4.0,5.0,61.0,15.3,36.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.1,16.1,89.3%,MIA,WR
Darnell Mooney,4.3,46.5,0.2,0.2,1.0,0.0,0.0,10.0,ATL,1,2021,WR,70.0,5.0,7.0,26.0,5.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.6,7.6,58.3%,ATL,WR
Jalen Reagor,3.3,46.6,0.2,0.2,1.1,0.0,0.0,9.1,LAC,1,2021,WR,25.0,6.0,6.0,49.0,8.2,23.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.9,16.9,0.0%,LAC,WR
