Player,RUSHING_ATT_proj,RUSHING_YDS_proj,RUSHING_TDS,RECEIVING_REC_proj,RECEIVING_YDS_proj,RECEIVING_TDS,MISC_FL_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Unnamed: 0_level_0_Rank,RUSHING_ATT_actual,RUSHING_YDS_actual,RUSHING_Y/A,RUSHING_LG,RUSHING_20+,RUSHING_TD,RECEIVING_REC_actual,RECEIVING_TGT,RECEIVING_YDS_actual,RECEIVING_Y/R,RECEIVING_TD,MISC_FL_actual,MISC_G,FPTS_actual,MISC_FPTS/G,MISC_ROST,Team_actual,Position_actual
Michael Carter,6.2,23.5,0.1,1.2,9.4,0.0,0.0,5.4,ARI,2,2021,RB,25.0,11.0,59.0,5.4,14.0,0.0,0.0,2.0,3.0,29.0,14.5,0.0,0.0,1.0,10.8,10.8,1.1%,ARI,RB
Trey Sermon,5.0,21.1,0.1,0.8,6.0,0.0,0.0,4.4,PIT,2,2021,RB,77.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.6%,PIT,RB
JaMycal Hasty,3.6,15.4,0.1,1.0,8.3,0.0,0.0,4.2,NE,2,2021,RB,27.0,5.0,38.0,7.6,21.0,1.0,0.0,4.0,5.0,21.0,5.3,0.0,0.0,1.0,9.9,9.9,1.1%,NE,RB
Salvon Ahmed,3.7,16.1,0.1,1.0,7.8,0.0,0.0,4.0,IND,2,2021,RB,71.0,6.0,17.0,2.8,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.7,1.7,0.0%,IND,RB
Samaje Perine,3.5,15.2,0.1,0.9,6.8,0.0,0.0,3.7,CIN,2,2021,RB,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5%,CIN,RB
DeeJay Dallas,3.1,11.7,0.1,0.9,7.7,0.0,0.0,3.5,ARI,2,2021,RB,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1%,ARI,RB
Kyle Juszczyk,0.7,2.5,0.0,1.3,12.2,0.1,0.0,3.4,SF,2,2021,RB,54.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,15.0,7.5,0.0,0.0,1.0,3.7,3.7,0.8%,SF,RB
Alexander Mattison,3.5,16.4,0.1,0.6,6.0,0.0,0.0,3.4,MIA,2,2021,RB,53.0,3.0,11.0,3.7,6.0,0.0,0.0,1.0,1.0,17.0,17.0,0.0,0.0,1.0,3.8,3.8,2.4%,MIA,RB
Jeremy McNichols,2.7,9.3,0.0,0.9,6.6,0.0,0.0,2.9,WAS,2,2021,RB,46.0,1.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,26.0,8.7,0.0,0.0,1.0,5.9,5.9,0.7%,WAS,RB
J.J. Taylor,3.3,14.1,0.1,0.3,2.6,0.0,0.0,2.6,HOU,2,2021,RB,81.0,2.0,3.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.6%,HOU,RB
Darrynton Evans,1.2,4.8,0.0,0.7,5.3,0.0,0.0,2.1,BUF,2,2021,RB,,,,,,,,,,,,,,,,,,,
Patrick Ricard,0.1,0.1,0.0,1.0,7.6,0.1,0.0,2.1,BAL,2,2021,RB,83.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.8%,BAL,RB
Chuba Hubbard,1.8,6.5,0.0,0.7,5.0,0.0,0.0,2.1,CAR,2,2021,RB,74.0,8.0,10.0,1.3,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,95.4%,CAR,RB
Alec Ingold,0.3,1.2,0.0,0.9,7.8,0.0,0.0,2.0,MIA,2,2021,RB,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6%,MIA,RB
Ameer Abdullah,1.2,5.0,0.0,0.6,4.0,0.0,0.0,1.7,SF,2,2021,RB,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6%,SF,RB
C.J. Ham,0.3,1.2,0.0,0.7,6.0,0.0,0.0,1.7,MIN,2,2021,RB,,,,,,,,,,,,,,,,,,,
