Player,RUSHING_ATT_proj,RUSHING_YDS_proj,RUSHING_TDS,RECEIVING_REC_proj,RECEIVING_YDS_proj,RECEIVING_TDS,MISC_FL_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Unnamed: 0_level_0_Rank,RUSHING_ATT_actual,RUSHING_YDS_actual,RUSHING_Y/A,RUSHING_LG,RUSHING_20+,RUSHING_TD,RECEIVING_REC_actual,RECEIVING_TGT,RECEIVING_YDS_actual,RECEIVING_Y/R,RECEIVING_TD,MISC_FL_actual,MISC_G,FPTS_actual,MISC_FPTS/G,MISC_ROST,Team_actual,Position_actual
Andrew Beck,0.6,2.2,0.0,0.2,1.9,0.0,0.0,0.9,NYJ,12,2023,RB,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0%,NYJ,RB
Patrick Ricard,0.1,0.5,0.0,0.4,2.7,0.0,0.0,0.8,BAL,12,2023,RB,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8%,BAL,RB
Trey Sermon,0.0,3.5,0.0,0.2,1.1,0.0,0.0,0.8,PIT,12,2023,RB,,,,,,,,,,,,,,,,,,,
Kene Nwangwu,0.0,2.4,0.0,0.2,1.4,0.0,0.0,0.7,NYJ,12,2023,RB,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,NYJ,RB
Eric Gray,0.0,2.6,0.0,0.2,1.0,0.0,0.0,0.6,NYG,12,2023,RB,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6%,NYG,RB
C.J. Ham,0.0,0.0,0.0,0.3,2.0,0.0,0.0,0.6,MIN,12,2023,RB,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.5,0.0,0.0,1.0,2.3,2.3,0.6%,MIN,RB
Hunter Luepke,0.0,0.2,0.0,0.3,1.9,0.0,0.0,0.6,DAL,12,2023,RB,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7%,DAL,RB
Sean Tucker,0.0,2.4,0.0,0.1,0.6,0.0,0.0,0.5,TB,12,2023,RB,,,,,,,,,,,,,,,,,,,
Michael Burton,0.5,1.3,0.0,0.1,0.1,0.0,0.0,0.2,DEN,12,2023,RB,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1%,DEN,RB
Nick Bellore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,12,2023,RB,,,,,,,,,,,,,,,,,,,
Jakob Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,12,2023,RB,,,,,,,,,,,,,,,,,,,
Reggie Gilliam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,12,2023,RB,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,BUF,RB
Elijah Dotson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,12,2023,RB,,,,,,,,,,,,,,,,,,,
Chris Brooks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,12,2023,RB,,,,,,,,,,,,,,,,,,,
Myles Gaskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,12,2023,RB,,,,,,,,,,,,,,,,,,,
Jeremy McNichols,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,12,2023,RB,,,,,,,,,,,,,,,,,,,
J.J. Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,12,2023,RB,,,,,,,,,,,,,,,,,,,
Jonathan Ward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,12,2023,RB,,,,,,,,,,,,,,,,,,,
Demetric Felton Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,12,2023,RB,,,,,,,,,,,,,,,,,,,
Jermar Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,12,2023,RB,,,,,,,,,,,,,,,,,,,
Javian Hawkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,12,2023,RB,,,,,,,,,,,,,,,,,,,
Jaret Patterson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,12,2023,RB,,,,,,,,,,,,,,,,,,,
Tyler Badie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,12,2023,RB,,,,,,,,,,,,,,,,,,,
Julius Chestnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,12,2023,RB,,,,,,,,,,,,,,,,,,,
Deon Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,12,2023,RB,,,,,,,,,,,,,,,,,,,
Malik Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,12,2023,RB,,,,,,,,,,,,,,,,,,,
Lew Nichols III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,12,2023,RB,,,,,,,,,,,,,,,,,,,
Jordan Mims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,12,2023,RB,,,,,,,,,,,,,,,,,,,
Owen Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,12,2023,RB,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,16.0,71.0,0.7,5.2,43.0,0.3,0.1,22.4,SF,13,2023,RB,7.0,17.0,93.0,5.5,16.0,0.0,1.0,3.0,4.0,40.0,13.3,0.0,0.0,1.0,22.3,22.3,99.2%,SF,RB
Alvin Kamara,14.0,57.4,0.4,5.2,39.8,0.2,0.1,18.0,NO,13,2023,RB,2.0,14.0,51.0,3.6,16.0,0.0,2.0,6.0,8.0,58.0,9.7,0.0,0.0,1.0,28.9,28.9,96.2%,NO,RB
Austin Ekeler,14.8,59.0,0.5,4.2,33.7,0.2,0.1,17.2,WAS,13,2023,RB,34.0,14.0,18.0,1.3,4.0,0.0,0.0,2.0,3.0,9.0,4.5,0.0,0.0,1.0,4.7,4.7,53.3%,WAS,RB
Jahmyr Gibbs,11.1,55.0,0.4,4.4,32.1,0.2,0.0,16.4,DET,13,2023,RB,29.0,8.0,60.0,7.5,36.0,1.0,0.0,1.0,2.0,-6.0,-6.0,0.0,0.0,1.0,6.4,6.4,99.6%,DET,RB
Travis Etienne Jr.,15.7,67.3,0.5,3.3,26.7,0.1,0.1,16.1,JAC,13,2023,RB,11.0,11.0,45.0,4.1,13.0,0.0,1.0,4.0,4.0,34.0,8.5,0.0,0.0,1.0,17.9,17.9,80.3%,JAC,RB
Rachaad White,18.0,69.1,0.4,3.4,25.0,0.1,0.1,16.1,TB,13,2023,RB,10.0,20.0,84.0,4.2,30.0,1.0,1.0,3.0,5.0,22.0,7.3,0.0,0.0,1.0,19.6,19.6,57.1%,TB,RB
Breece Hall,15.4,63.3,0.3,3.9,31.1,0.1,0.1,15.7,NYJ,13,2023,RB,21.0,13.0,16.0,1.2,9.0,0.0,0.0,6.0,8.0,29.0,4.8,0.0,0.0,1.0,10.5,10.5,96.3%,NYJ,RB
Kyren Williams,17.8,77.6,0.5,2.6,18.1,0.1,0.0,15.7,LAR,13,2023,RB,9.0,21.0,88.0,4.2,18.0,0.0,1.0,3.0,5.0,24.0,8.0,0.0,0.0,1.0,20.2,20.2,98.4%,LAR,RB
Tony Pollard,15.3,68.7,0.4,3.2,23.2,0.1,0.1,15.7,TEN,13,2023,RB,12.0,20.0,68.0,3.4,16.0,0.0,1.0,3.0,4.0,15.0,5.0,0.0,0.0,1.0,17.3,17.3,86.7%,TEN,RB
Isiah Pacheco,14.5,66.3,0.4,3.1,23.4,0.1,0.1,15.1,KC,13,2023,RB,8.0,18.0,110.0,6.1,26.0,1.0,1.0,3.0,4.0,13.0,4.3,0.0,0.0,1.0,21.3,21.3,90.2%,KC,RB
Rhamondre Stevenson,16.7,69.7,0.4,3.2,25.1,0.1,0.1,15.1,NE,13,2023,RB,43.0,9.0,39.0,4.3,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.9,2.9,74.2%,NE,RB
Bijan Robinson,15.4,69.5,0.3,2.8,22.1,0.1,0.1,14.5,ATL,13,2023,RB,20.0,18.0,53.0,2.9,12.0,0.0,0.0,3.0,5.0,26.0,8.7,0.0,0.0,1.0,10.9,10.9,99.4%,ATL,RB
Joe Mixon,15.6,61.6,0.3,3.0,20.2,0.1,0.0,13.8,HOU,13,2023,RB,1.0,19.0,68.0,3.6,18.0,0.0,2.0,6.0,7.0,49.0,8.2,0.0,0.0,1.0,29.7,29.7,92.1%,HOU,RB
Javonte Williams,15.2,62.5,0.3,2.8,19.8,0.1,0.1,13.6,DAL,13,2023,RB,23.0,13.0,46.0,3.5,16.0,0.0,0.0,3.0,3.0,24.0,8.0,0.0,0.0,1.0,10.0,10.0,70.2%,DAL,RB
Jaylen Warren,12.0,54.6,0.4,2.9,20.6,0.1,0.1,13.3,PIT,13,2023,RB,28.0,9.0,59.0,6.6,18.0,0.0,0.0,1.0,3.0,-4.0,-4.0,0.0,0.0,1.0,6.5,6.5,81.7%,PIT,RB
Brian Robinson Jr.,14.2,57.2,0.3,2.8,23.4,0.1,0.1,13.2,WAS,13,2023,RB,32.0,7.0,53.0,7.6,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,84.1%,WAS,RB
A.J. Dillon,15.1,61.9,0.3,2.3,18.9,0.0,0.0,12.5,PHI,13,2023,RB,25.0,18.0,73.0,4.1,10.0,0.0,0.0,1.0,1.0,14.0,14.0,0.0,0.0,1.0,9.7,9.7,3.2%,PHI,RB
David Montgomery,14.8,65.0,0.6,1.1,10.0,0.1,0.1,12.4,DET,13,2023,RB,17.0,18.0,56.0,3.1,13.0,0.0,1.0,1.0,2.0,-1.0,-1.0,0.0,0.0,1.0,12.5,12.5,93.1%,DET,RB
Jerome Ford,14.5,60.2,0.3,2.4,17.6,0.1,0.1,12.2,CLE,13,2023,RB,14.0,9.0,19.0,2.1,10.0,0.0,0.0,3.0,3.0,33.0,11.0,1.0,0.0,1.0,14.2,14.2,45.6%,CLE,RB
Zach Charbonnet,13.9,56.1,0.3,2.5,17.7,0.1,0.1,12.2,SEA,13,2023,RB,13.0,19.0,60.0,3.2,14.0,0.0,1.0,1.0,2.0,39.0,39.0,0.0,0.0,1.0,16.9,16.9,69.7%,SEA,RB
Najee Harris,13.9,60.7,0.5,1.6,11.5,0.1,0.0,12.1,LAC,13,2023,RB,26.0,16.0,63.0,3.9,11.0,0.0,0.0,2.0,3.0,14.0,7.0,0.0,0.0,1.0,9.7,9.7,59.0%,LAC,RB
Chuba Hubbard,11.9,49.8,0.2,2.6,18.8,0.1,0.1,11.1,CAR,13,2023,RB,6.0,25.0,104.0,4.2,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.4,22.4,95.4%,CAR,RB
De'Von Achane,10.6,46.8,0.4,2.1,14.8,0.1,0.1,10.9,MIA,13,2023,RB,3.0,17.0,73.0,4.3,15.0,0.0,2.0,3.0,4.0,30.0,10.0,0.0,0.0,1.0,25.3,25.3,99.1%,MIA,RB
James Conner,12.0,53.4,0.3,1.6,11.3,0.0,0.0,10.3,ARI,13,2023,RB,5.0,25.0,105.0,4.2,29.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,22.5,22.5,93.6%,ARI,RB
Antonio Gibson,4.6,19.0,0.1,3.1,24.7,0.1,0.0,8.7,NE,13,2023,RB,19.0,10.0,35.0,3.5,9.0,0.0,0.0,4.0,5.0,37.0,9.3,0.0,0.0,1.0,11.2,11.2,3.5%,NE,RB
Kareem Hunt,10.1,42.6,0.3,1.0,7.1,0.0,0.0,8.1,KC,13,2023,RB,31.0,12.0,48.0,4.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.8,5.8,19.6%,KC,RB
Samaje Perine,3.7,14.7,0.1,2.7,22.3,0.1,0.0,7.6,CIN,13,2023,RB,47.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,5.0,2.5,0.0,0.0,1.0,2.6,2.6,2.5%,CIN,RB
Miles Sanders,10.0,40.7,0.2,1.3,10.3,0.0,0.1,7.6,DAL,13,2023,RB,38.0,8.0,23.0,2.9,8.0,0.0,0.0,1.0,2.0,6.0,6.0,0.0,0.0,1.0,3.9,3.9,8.2%,DAL,RB
Tyjae Spears,4.1,19.1,0.1,2.4,18.5,0.1,0.0,7.5,TEN,13,2023,RB,16.0,16.0,75.0,4.7,19.0,0.0,0.0,4.0,6.0,13.0,3.3,0.0,0.0,1.0,12.8,12.8,57.7%,TEN,RB
Tyler Allgeier,9.7,39.7,0.2,0.7,5.0,0.0,0.0,6.5,ATL,13,2023,RB,48.0,8.0,26.0,3.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6,2.6,34.2%,ATL,RB
Dameon Pierce,8.3,33.4,0.2,0.9,6.7,0.0,0.0,6.4,HOU,13,2023,RB,22.0,15.0,41.0,2.7,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.1,10.1,4.3%,HOU,RB
Rico Dowdle,5.7,25.6,0.2,0.7,5.2,0.0,0.0,5.1,CAR,13,2023,RB,41.0,5.0,15.0,3.0,8.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,3.2,3.2,23.4%,CAR,RB
Jaleel McLaughlin,3.3,14.2,0.1,1.6,10.8,0.1,0.0,5.0,DEN,13,2023,RB,36.0,4.0,15.0,3.8,8.0,0.0,0.0,2.0,2.0,6.0,3.0,0.0,0.0,1.0,4.1,4.1,5.6%,DEN,RB
Kenneth Gainwell,3.1,13.3,0.1,1.6,10.9,0.0,0.0,4.8,PIT,13,2023,RB,24.0,2.0,5.0,2.5,3.0,0.0,0.0,5.0,6.0,42.0,8.4,0.0,0.0,1.0,9.7,9.7,1.6%,PIT,RB
Patrick Taylor Jr.,4.8,17.7,0.1,1.2,9.2,0.1,0.0,4.8,SF,13,2023,RB,44.0,2.0,29.0,14.5,24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.9,2.9,0.7%,SF,RB
Clyde Edwards-Helaire,3.4,15.2,0.1,1.4,10.1,0.1,0.0,4.7,NO,13,2023,RB,52.0,2.0,6.0,3.0,5.0,0.0,0.0,1.0,2.0,8.0,8.0,0.0,0.0,1.0,2.4,2.4,0.8%,NO,RB
Trey Sermon,6.2,18.6,0.2,0.8,5.3,0.0,0.0,4.2,PIT,13,2023,RB,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6%,PIT,RB
DeeJay Dallas,4.4,15.0,0.1,1.1,7.9,0.0,0.0,4.0,ARI,13,2023,RB,62.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.1%,ARI,RB
Elijah Mitchell,4.5,20.0,0.1,0.7,4.3,0.0,0.0,4.0,KC,13,2023,RB,56.0,3.0,13.0,4.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,1.3,4.3%,KC,RB
Jeff Wilson Jr.,1.9,11.3,0.1,1.1,7.8,0.1,0.0,3.8,SF,13,2023,RB,57.0,4.0,11.0,2.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,1.1,1.0%,SF,RB
Emari Demercado,4.5,17.0,0.1,0.8,5.3,0.0,0.0,3.5,ARI,13,2023,RB,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7%,ARI,RB
Michael Carter,2.7,9.8,0.0,1.4,9.1,0.0,0.0,3.5,ARI,13,2023,RB,50.0,4.0,25.0,6.3,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,1.1%,ARI,RB
Tyler Goodson,0.0,14.6,0.1,0.6,4.5,0.0,0.0,3.3,IND,13,2023,RB,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,5.5,0.0,0.0,1.0,3.1,3.1,0.7%,IND,RB
Tank Bigsby,1.6,11.2,0.1,0.2,1.2,0.0,0.0,2.0,JAC,13,2023,RB,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,63.1%,JAC,RB
Kyle Juszczyk,0.5,1.7,0.0,0.7,6.1,0.1,0.0,1.9,SF,13,2023,RB,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8%,SF,RB
Israel Abanikanda,0.6,6.5,0.0,0.4,3.1,0.0,0.0,1.7,GB,13,2023,RB,,,,,,,,,,,,,,,,,,,
Andrew Beck,0.7,3.0,0.0,0.5,4.0,0.0,0.0,1.5,NYJ,13,2023,RB,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0%,NYJ,RB
Chris Rodriguez Jr.,1.2,8.2,0.1,0.2,1.5,0.0,0.0,1.5,WAS,13,2023,RB,45.0,7.0,29.0,4.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9,2.9,0.7%,WAS,RB
Trayveon Williams,1.6,7.9,0.0,0.3,1.8,0.0,0.0,1.5,CLE,13,2023,RB,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,CLE,RB
Kenny McIntosh,0.0,4.5,0.0,0.4,2.2,0.0,0.0,1.3,SEA,13,2023,RB,,,,,,,,,,,,,,,,,,,
Chase Brown,1.2,5.3,0.0,0.3,1.8,0.0,0.0,1.2,CIN,13,2023,RB,30.0,9.0,61.0,6.8,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.1,6.1,97.5%,CIN,RB
Alec Ingold,0.1,0.4,0.0,0.6,4.0,0.0,0.0,1.2,MIA,13,2023,RB,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-3.0,-3.0,0.0,0.0,1.0,0.7,0.7,0.6%,MIA,RB
Pierre Strong Jr.,0.7,4.5,0.0,0.3,2.0,0.0,0.0,1.2,CLE,13,2023,RB,53.0,2.0,20.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.7%,CLE,RB
Craig Reynolds,0.0,5.2,0.0,0.2,1.1,0.0,0.0,1.1,DET,13,2023,RB,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7%,DET,RB
Raheem Blackshear,0.1,2.3,0.0,0.3,2.3,0.0,0.0,0.9,CAR,13,2023,RB,61.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.8%,CAR,RB
Dare Ogunbowale,0.0,2.3,0.0,0.2,1.7,0.0,0.0,0.7,HOU,13,2023,RB,51.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,14.0,0.0,0.0,1.0,2.5,2.5,0.7%,HOU,RB
Hunter Luepke,0.0,0.2,0.0,0.3,1.9,0.0,0.0,0.6,DAL,13,2023,RB,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7%,DAL,RB
Sean Tucker,0.0,2.3,0.0,0.1,0.9,0.0,0.0,0.5,TB,13,2023,RB,,,,,,,,,,,,,,,,,,,
Michael Burton,0.5,1.9,0.0,0.0,0.0,0.0,0.0,0.3,DEN,13,2023,RB,63.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.1%,DEN,RB
Nick Bellore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,13,2023,RB,,,,,,,,,,,,,,,,,,,
Josh Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,13,2023,RB,,,,,,,,,,,,,,,,,,,
Saquon Barkley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,13,2023,RB,,,,,,,,,,,,,,,,,,,
Alexander Mattison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,13,2023,RB,,,,,,,,,,,,,,,,,,,
Khalil Herbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,13,2023,RB,,,,,,,,,,,,,,,,,,,
Ameer Abdullah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,13,2023,RB,,,,,,,,,,,,,,,,,,,
Kene Nwangwu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,13,2023,RB,,,,,,,,,,,,,,,,,,,
Jakob Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,13,2023,RB,,,,,,,,,,,,,,,,,,,
Elijah Dotson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,13,2023,RB,,,,,,,,,,,,,,,,,,,
Chris Brooks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,13,2023,RB,,,,,,,,,,,,,,,,,,,
Jeremy McNichols,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,13,2023,RB,,,,,,,,,,,,,,,,,,,
J.J. Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,13,2023,RB,,,,,,,,,,,,,,,,,,,
Demetric Felton Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,13,2023,RB,,,,,,,,,,,,,,,,,,,
Gary Brightwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,13,2023,RB,,,,,,,,,,,,,,,,,,,
Jermar Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,13,2023,RB,,,,,,,,,,,,,,,,,,,
Javian Hawkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,13,2023,RB,,,,,,,,,,,,,,,,,,,
Jaret Patterson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,13,2023,RB,,,,,,,,,,,,,,,,,,,
Tyler Badie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,13,2023,RB,,,,,,,,,,,,,,,,,,,
Julius Chestnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,13,2023,RB,,,,,,,,,,,,,,,,,,,
Keaontay Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,13,2023,RB,,,,,,,,,,,,,,,,,,,
Deon Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,13,2023,RB,,,,,,,,,,,,,,,,,,,
Malik Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,13,2023,RB,,,,,,,,,,,,,,,,,,,
Lew Nichols III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,13,2023,RB,,,,,,,,,,,,,,,,,,,
Jordan Mims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,13,2023,RB,,,,,,,,,,,,,,,,,,,
Jashaun Corbin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,13,2023,RB,,,,,,,,,,,,,,,,,,,
Owen Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,13,2023,RB,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,18.4,83.8,0.8,4.4,38.8,0.3,0.1,23.1,SF,14,2023,RB,17.0,16.0,145.0,9.1,72.0,3.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0,16.3,16.3,99.2%,SF,RB
Alvin Kamara,16.9,69.4,0.5,5.1,39.8,0.2,0.1,19.8,NO,14,2023,RB,19.0,12.0,56.0,4.7,9.0,0.0,1.0,3.0,4.0,-11.0,-3.7,0.0,0.0,1.0,13.5,13.5,96.2%,NO,RB
Kyren Williams,18.4,77.8,0.5,3.0,21.8,0.1,0.0,16.6,LAR,14,2023,RB,18.0,25.0,114.0,4.6,14.0,0.0,0.0,3.0,4.0,-1.0,-0.3,0.0,0.0,1.0,14.3,14.3,98.4%,LAR,RB
Joe Mixon,16.2,69.0,0.5,3.2,22.4,0.1,0.0,16.2,HOU,14,2023,RB,7.0,21.0,79.0,3.8,18.0,0.0,1.0,3.0,4.0,46.0,15.3,0.0,0.0,1.0,21.5,21.5,92.1%,HOU,RB
Rachaad White,17.0,64.6,0.4,3.6,28.0,0.1,0.1,15.8,TB,14,2023,RB,6.0,25.0,102.0,4.1,12.0,0.0,0.0,2.0,2.0,33.0,16.5,1.0,0.0,1.0,21.5,21.5,57.1%,TB,RB
Saquon Barkley,17.7,75.6,0.3,3.2,23.6,0.1,0.1,15.8,PHI,14,2023,RB,4.0,20.0,86.0,4.3,34.0,1.0,2.0,3.0,4.0,15.0,5.0,0.0,1.0,1.0,23.1,23.1,99.5%,PHI,RB
Bijan Robinson,15.5,68.6,0.4,3.3,26.0,0.1,0.1,15.6,ATL,14,2023,RB,9.0,10.0,34.0,3.4,8.0,0.0,1.0,5.0,7.0,54.0,10.8,0.0,0.0,1.0,19.8,19.8,99.4%,ATL,RB
Josh Jacobs,19.6,74.9,0.5,2.7,20.6,0.1,0.1,15.5,GB,14,2023,RB,42.0,13.0,34.0,2.6,11.0,0.0,0.0,2.0,2.0,16.0,8.0,0.0,0.0,1.0,7.0,7.0,99.3%,GB,RB
Jahmyr Gibbs,10.0,51.1,0.4,4.2,31.9,0.1,0.0,15.4,DET,14,2023,RB,15.0,11.0,66.0,6.0,36.0,1.0,1.0,3.0,4.0,16.0,5.3,0.0,0.0,1.0,17.2,17.2,99.6%,DET,RB
Tony Pollard,14.8,66.2,0.5,3.0,23.2,0.1,0.1,15.3,TEN,14,2023,RB,16.0,16.0,59.0,3.7,11.0,0.0,0.0,7.0,8.0,37.0,5.3,0.0,0.0,1.0,16.6,16.6,86.7%,TEN,RB
Travis Etienne Jr.,15.0,64.5,0.4,3.3,26.8,0.1,0.1,15.2,JAC,14,2023,RB,14.0,14.0,35.0,2.5,16.0,0.0,1.0,4.0,4.0,37.0,9.3,0.0,0.0,1.0,17.2,17.2,80.3%,JAC,RB
De'Von Achane,11.8,54.4,0.6,2.6,23.2,0.2,0.1,15.1,MIA,14,2023,RB,24.0,7.0,47.0,6.7,15.0,0.0,0.0,5.0,9.0,24.0,4.8,0.0,0.0,1.0,12.1,12.1,99.1%,MIA,RB
Breece Hall,14.5,56.5,0.3,3.6,30.1,0.1,0.0,14.7,NYJ,14,2023,RB,2.0,10.0,40.0,4.0,15.0,0.0,0.0,8.0,9.0,86.0,10.8,1.0,0.0,1.0,26.6,26.6,96.3%,NYJ,RB
Javonte Williams,15.1,62.7,0.3,2.9,20.7,0.1,0.1,13.5,DAL,14,2023,RB,11.0,17.0,66.0,3.9,20.0,1.0,1.0,3.0,4.0,25.0,8.3,0.0,0.0,1.0,18.1,18.1,70.2%,DAL,RB
